SIB (dec),SIB,SS,Index,Base,Scaled Index,r32
226,E2,3,4,2,,EDX
227,E3,3,4,3,,EBX
228,E4,3,4,4,,ESP
229,E5,3,4,5,,"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
230,E6,3,4,6,,ESI
231,E7,3,4,7,,EDI
232,E8,3,5,0,[EBP*8],EAX
233,E9,3,5,1,[EBP*8],ECX
234,EA,3,5,2,[EBP*8],EDX
235,EB,3,5,3,[EBP*8],EBX
236,EC,3,5,4,[EBP*8],ESP
237,ED,3,5,5,[EBP*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
238,EE,3,5,6,[EBP*8],ESI
239,EF,3,5,7,[EBP*8],EDI
240,F0,3,6,0,[ESI*8],EAX
241,F1,3,6,1,[ESI*8],ECX
242,F2,3,6,2,[ESI*8],EDX
243,F3,3,6,3,[ESI*8],EBX
244,F4,3,6,4,[ESI*8],ESP
245,F5,3,6,5,[ESI*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
246,F6,3,6,6,[ESI*8],ESI
247,F7,3,6,7,[ESI*8],EDI
248,F8,3,7,0,[EDI*8],EAX
249,F9,3,7,1,[EDI*8],ECX
250,FA,3,7,2,[EDI*8],EDX
251,FB,3,7,3,[EDI*8],EBX
252,FC,3,7,4,[EDI*8],ESP
253,FD,3,7,5,[EDI*8],"A disp32 with no base if the MOD is 00B. Otherwise, [*] means disp8 or disp32 + [EBP]. See Table 2-3."
254,FE,3,7,6,[EDI*8],ESI
255,FF,3,7,7,[EDI*8],EDI
